year,month,commodity_group,cpi_value,inflation_rate_pct
2022,7,FOOD AND NON-ALCOHOLIC BEVERAGES,115.3,6.9
2022,7,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",112.0,3.1
2022,7,HEALTH,115.3,2.4
2022,7,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",112.2,5.7
2022,7,INFORMATION AND COMMUNICATION,102.0,0.5
2022,7,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",110.4,2.8
2022,7,"RECREATION, SPORT AND CULTURE",107.1,2.2
2022,7,RESTAURANTS AND ACCOMMODATION SERVICES,113.6,3.4
2022,7,TRANSPORT,133.2,18.1
2022,8,ALCOHOLIC BEVERAGES AND TOBACCO,155.9,9.3
2022,8,ALL ITEMS,116.3,6.3
2022,8,CLOTHING AND FOOTWEAR,110.2,2.8
2022,8,EDUCATION SERVICES,110.6,3.8
2022,8,FINANCIAL SERVICES,143.3,0.0
2022,8,FOOD AND NON-ALCOHOLIC BEVERAGES,116.1,6.3
2022,8,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",112.4,3.4
2022,8,HEALTH,115.6,2.5
2022,8,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",113.7,6.8
2022,8,INFORMATION AND COMMUNICATION,102.0,0.4
2022,8,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",110.9,3.3
2022,8,"RECREATION, SPORT AND CULTURE",107.5,2.4
2022,8,RESTAURANTS AND ACCOMMODATION SERVICES,114.8,4.2
2022,8,TRANSPORT,129.5,14.6
2022,9,ALCOHOLIC BEVERAGES AND TOBACCO,156.8,9.8
2022,9,ALL ITEMS,116.8,6.9
2022,9,CLOTHING AND FOOTWEAR,110.5,2.9
2022,9,EDUCATION SERVICES,110.9,3.5
2022,9,FINANCIAL SERVICES,143.3,0.0
2022,9,FOOD AND NON-ALCOHOLIC BEVERAGES,116.7,7.4
2022,9,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",112.9,3.5
2022,9,HEALTH,115.7,2.4
2022,9,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",114.6,7.3
2022,9,INFORMATION AND COMMUNICATION,102.2,0.5
2022,9,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",111.3,3.4
2022,9,"RECREATION, SPORT AND CULTURE",108.0,2.7
2022,9,RESTAURANTS AND ACCOMMODATION SERVICES,115.4,4.6
2022,9,TRANSPORT,129.5,14.5
2022,10,ALCOHOLIC BEVERAGES AND TOBACCO,158.0,10.4
2022,10,ALL ITEMS,117.9,7.7
2022,10,CLOTHING AND FOOTWEAR,110.8,3.1
2022,10,EDUCATION SERVICES,110.9,3.4
2022,10,FINANCIAL SERVICES,143.3,0.0
2022,10,FOOD AND NON-ALCOHOLIC BEVERAGES,118.4,9.4
2022,10,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",113.3,3.8
2022,10,HEALTH,116.0,2.6
2022,10,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",115.1,7.4
2022,10,INFORMATION AND COMMUNICATION,102.2,0.5
